COUNTRY,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE
United States,January 2011,2011,1,January,Oil,4319.74
United States,February 2011,2011,2,February,Oil,2909.916
United States,March 2011,2011,3,March,Oil,3243.722
United States,April 2011,2011,4,April,Oil,3012.693
United States,May 2011,2011,5,May,Oil,2906.19
United States,June 2011,2011,6,June,Oil,3223.797
United States,July 2011,2011,7,July,Oil,3980.005
United States,August 2011,2011,8,August,Oil,3182.334
United States,September 2011,2011,9,September,Oil,2970.802
United States,October 2011,2011,10,October,Oil,2557.008
United States,November 2011,2011,11,November,Oil,2277.787
United States,December 2011,2011,12,December,Oil,2644.412
United States,January 2012,2012,1,January,Oil,3324.571
United States,February 2012,2012,2,February,Oil,2619.897
United States,March 2012,2012,3,March,Oil,2122.985
United States,April 2012,2012,4,April,Oil,2127.803
United States,May 2012,2012,5,May,Oil,2349.633
United States,June 2012,2012,6,June,Oil,2796.535
United States,July 2012,2012,7,July,Oil,3112.819
United States,August 2012,2012,8,August,Oil,2818.769
United States,September 2012,2012,9,September,Oil,2534.998
United States,October 2012,2012,10,October,Oil,2531.111
United States,November 2012,2012,11,November,Oil,2420.166
United States,December 2012,2012,12,December,Oil,2389.469
United States,January 2013,2013,1,January,Oil,3522.674
United States,February 2013,2013,2,February,Oil,2541.771
United States,March 2013,2013,3,March,Oil,2589.912
United States,April 2013,2013,4,April,Oil,2428.488
United States,May 2013,2013,5,May,Oil,3109.348
United States,June 2013,2013,6,June,Oil,3011.901
United States,July 2013,2013,7,July,Oil,3639.186
United States,August 2013,2013,8,August,Oil,3187.164
United States,September 2013,2013,9,September,Oil,2624.23
United States,October 2013,2013,10,October,Oil,2485.335
United States,November 2013,2013,11,November,Oil,2385.108
United States,December 2013,2013,12,December,Oil,3202.436
United States,January 2014,2014,1,January,Oil,8844.891
United States,February 2014,2014,2,February,Oil,3459.272
United States,March 2014,2014,3,March,Oil,4072.569
United States,April 2014,2014,4,April,Oil,2146.254
United States,May 2014,2014,5,May,Oil,2488.907
United States,June 2014,2014,6,June,Oil,2509.397
United States,July 2014,2014,7,July,Oil,2526.606
United States,August 2014,2014,8,August,Oil,2549.881
United States,September 2014,2014,9,September,Oil,2359.158
United States,October 2014,2014,10,October,Oil,1853.35
United States,November 2014,2014,11,November,Oil,2138.02
United States,December 2014,2014,12,December,Oil,2594.479
United States,January 2015,2015,1,January,Oil,3857.241
United States,February 2015,2015,2,February,Oil,8200.616
United States,March 2015,2015,3,March,Oil,2307.483
United States,April 2015,2015,4,April,Oil,2241.561
United States,May 2015,2015,5,May,Oil,2515.44
United States,June 2015,2015,6,June,Oil,2413.88
United States,July 2015,2015,7,July,Oil,2989.531
United States,August 2015,2015,8,August,Oil,2767.704
United States,September 2015,2015,9,September,Oil,2639.386
United States,October 2015,2015,10,October,Oil,2298.013
United States,November 2015,2015,11,November,Oil,2218.474
United States,December 2015,2015,12,December,Oil,2201.68
United States,January 2016,2016,1,January,Oil,3148.911
United States,February 2016,2016,2,February,Oil,2938.352
United States,March 2016,2016,3,March,Oil,2423.254
United States,April 2016,2016,4,April,Oil,2513.885
United States,May 2016,2016,5,May,Oil,2652.406
United States,June 2016,2016,6,June,Oil,2669.84
United States,July 2016,2016,7,July,Oil,3184.347
United States,August 2016,2016,8,August,Oil,3243.915
United States,September 2016,2016,9,September,Oil,2641.617
United States,October 2016,2016,10,October,Oil,2130.751
United States,November 2016,2016,11,November,Oil,2525.78
United States,December 2016,2016,12,December,Oil,2761.228
United States,January 2017,2017,1,January,Oil,3055.645
United States,February 2017,2017,2,February,Oil,2366.264
United States,March 2017,2017,3,March,Oil,2430.838
United States,April 2017,2017,4,April,Oil,1863.607
United States,May 2017,2017,5,May,Oil,2556.686
United States,June 2017,2017,6,June,Oil,2724.878
United States,July 2017,2017,7,July,Oil,2562.725
United States,August 2017,2017,8,August,Oil,2480.625
United States,September 2017,2017,9,September,Oil,2395.021
United States,October 2017,2017,10,October,Oil,2206.722
United States,November 2017,2017,11,November,Oil,2310.84
United States,December 2017,2017,12,December,Oil,3615.129
United States,January 2018,2018,1,January,Oil,8605.433
United States,February 2018,2018,2,February,Oil,2117.051
United States,March 2018,2018,3,March,Oil,1981.656
United States,April 2018,2018,4,April,Oil,2858.676
United States,May 2018,2018,5,May,Oil,2448.485
United States,June 2018,2018,6,June,Oil,3090.47
United States,July 2018,2018,7,July,Oil,3571.911
United States,August 2018,2018,8,August,Oil,3401.116
United States,September 2018,2018,9,September,Oil,3369.485
United States,October 2018,2018,10,October,Oil,2779.702
United States,November 2018,2018,11,November,Oil,2982.781
United States,December 2018,2018,12,December,Oil,3158.874
United States,January 2019,2019,1,January,Oil,3424.664
United States,February 2019,2019,2,February,Oil,2559.143
United States,March 2019,2019,3,March,Oil,2559.057
United States,April 2019,2019,4,April,Oil,2443.71
United States,May 2019,2019,5,May,Oil,2991.867
United States,June 2019,2019,6,June,Oil,2793.45
United States,July 2019,2019,7,July,Oil,3222.693
United States,August 2019,2019,8,August,Oil,3411.047
United States,September 2019,2019,9,September,Oil,3146.072
United States,October 2019,2019,10,October,Oil,2388.052
United States,November 2019,2019,11,November,Oil,2382.762
United States,December 2019,2019,12,December,Oil,2526.902
United States,January 2020,2020,1,January,Oil,3223.41
United States,February 2020,2020,2,February,Oil,2724.59
United States,March 2020,2020,3,March,Oil,2885.159
United States,April 2020,2020,4,April,Oil,2607.143
United States,May 2020,2020,5,May,Oil,2930.772
United States,June 2020,2020,6,June,Oil,3620.755
United States,July 2020,2020,7,July,Oil,3790.964
United States,August 2020,2020,8,August,Oil,3444.759
United States,September 2020,2020,9,September,Oil,2448.324
United States,October 2020,2020,10,October,Oil,2382.396
United States,November 2020,2020,11,November,Oil,2574.846
United States,December 2020,2020,12,December,Oil,2853.9
United States,January 2021,2021,1,January,Oil,2621.391
United States,February 2021,2021,2,February,Oil,3477.626
United States,March 2021,2021,3,March,Oil,2748.201
United States,April 2021,2021,4,April,Oil,2136.566
United States,May 2021,2021,5,May,Oil,2466.453
United States,June 2021,2021,6,June,Oil,2382.245
United States,July 2021,2021,7,July,Oil,2578.482
United States,August 2021,2021,8,August,Oil,3313.534
United States,September 2021,2021,9,September,Oil,3000.117
United States,October 2021,2021,10,October,Oil,2965.081
United States,November 2021,2021,11,November,Oil,3465.048
United States,December 2021,2021,12,December,Oil,3064.268
United States,January 2022,2022,1,January,Oil,6136.724
United States,February 2022,2022,2,February,Oil,3112.342
United States,March 2022,2022,3,March,Oil,2677.479
United States,April 2022,2022,4,April,Oil,2449.46
United States,May 2022,2022,5,May,Oil,3031.027
United States,June 2022,2022,6,June,Oil,3108.133
United States,July 2022,2022,7,July,Oil,2919.379
United States,August 2022,2022,8,August,Oil,3181.26
United States,September 2022,2022,9,September,Oil,2990.694
United States,October 2022,2022,10,October,Oil,3102.625
United States,November 2022,2022,11,November,Oil,2980.653
United States,December 2022,2022,12,December,Oil,7130.296
